,Question,answer-high-certainty,answer-low-certainty,answer-reductive-answer,answer-exhaustive-answer,answer-non-answer,context-low-bias,context-positive-bias,context-negative-bias,setup-posterior,setup-relevance-your-turn,name,prompt-likelihood,prompt-relevance,prompt-helpfulness
Stimulus 3,Will they have the ceremony indoors?,It's going to rain this afternoon.,It's going to be cloudy this afternoon.,It'll be indoors if they need to use the sound system. ,It'll be in the ballroom.,There are supposed to be 100 guests.,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. Last you heard, Kim wanted to have the ceremony on the beach, but Sam wanted to have it in the mansion ballroom.","It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. You're not sure if the ceremony is supposed to be on the beach or in the mansion, but last you heard they were planning on having it indoors.","It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. Last you heard, the plan was to have the ceremony on the beach, and the reception in the mansion ballroom.",Your friend Clara turns to you and says:,You turn to your friend Clara and ask:,Clara,How likely do you think it is that they will have the ceremony indoors?,How relevant was {name}'s response to the question at hand?,How helpful was {name}'s response?
Stimulus 4,Are we having hamburgers for dinner?,There are hamburger buns in the kitchen.,There is ground beef in the kitchen.,We'll have hamburgers if Mom had a tough day at work.,We're having hamburgers and french fries.,We're having ice cream for dessert.,"After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Tuesday, which has been hamburger night the last couple weeks. ","After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Thursday, which is usually hamburger night.","After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Thursday, which used to be hamburger night, but lately, Mom has stopped making hamburgers because they're too ""unhealthy"".",Your sibling Taylor turns to you and says:,You turn to your sibling and ask:,your sibling,How likely do you think it is that you are having hamburgers for dinner?,How relevant was {name}'s response to the question at hand?,How helpful was {name}'s response?
Stimulus 6,Is Joe married?,He's wearing a ring.,He lives in the suburbs.,He's not engaged.,He's married to his high school sweetheart.,He works in the IT department.,"Joe is the new guy at work, and he's pretty cute. You're thinking of asking him on a date, but if he's married that would be pretty awkward.","Joe is the new guy at work, and he's pretty cute. You're thinking of asking him on a date, but if he's married it would be pretty awkward, and you heard he has two children.","Joe is the new guy at work, and he's pretty cute. You're thinking of asking him on a date, but if he's married that would be pretty awkward. On the other hand, you saw him come to company picnic last week without a plus-one.",Your coworker Laura turns to you and says:,You turn to your coworker Laura and ask:,Laura,How likely do you think it is that Joe is married?,How relevant was {name}'s response to the question at hand?,How helpful was {name}'s response?
Stimulus 7,Is Maria from Madrid?,She's from Spain.,She speaks Spanish.,She's either from Madrid or Moscow.,She was born and raised in Madrid.,She's a talented singer.,"Maria is the new foreign exchange student at school. You want to introduce yourself, but you forgot where she is from. You know it's a big city where they don't speak English, but where?","Maria is the new foreign exchange student at school. You want to introduce yourself, but you forgot where she is from. You know it's a big city in Europe.","Maria is the new foreign exchange student at school. You want to introduce yourself, but you forgot where she is from. You know it's a big city somewhere.",Your friend Chris turns to you and whispers:,You turn to your friend Chris and ask:,Chris,How likely do you think it is that Maria is from Madrid?,How relevant was {name}'s response to the question at hand?,How helpful was {name}'s response?
Stimulus 9,Is there anyone inside the house?,I heard voices coming from inside.,There's a light on.,"If there are two cars in the driveway, then someone is home.",The whole family is inside the house.,The house has two entrances.,"You're a burglar trying to rob a house with your accomplice Chris. You've been staking out a good looking house for the last week, and noticed that the family often goes out to dinner around this time.","You're a burglar trying to rob a house with your accomplice Chris. You've been staking out a good looking house for the last week, and noticed that the family usually watches TV together around this time.","You're a burglar, trying to rob a house with your accomplice Chris. You've been staking out a good looking house for the last week, and noticed that the family seems to have left for vacation.",Your accomplice Chris turns to you and whispers:,You turn to your accomplice Chris and ask:,Chris,How likely do you think it is that there is somebody in the house?,How relevant was {name}'s response to the question at hand?,How helpful was {name}'s response?
Stimulus 10,Is there any cake left?,The cake box is still on the counter in the kitchen.,I saw someone with a slice yesterday.,There's still some left if Lily didn't take it home.,There are three slices left.,"The cake was half chocolate, half vanilla.","It's afternoon at the office and you're ready for a snack. There was a birthday party for Lily earlier in the week, and the cake was delicious.","It's afternoon at the office and you're ready for a snack. There was a birthday party for Lily earlier in the week, and the cake was so big that the party-goers barely made a dent in it.","It's afternoon at the office and you're ready for a snack. There was a birthday party for Lily earlier in the week, and the cake was so delicious that the party-goers barely left any behind.","Your coworker Meaghan sees you looking hungry, and turns to you and says:","Your coworker Meaghan sees you looking hungry, so you turn to her and ask:",Meaghan,How likely do you think it is that there is any cake left?,How relevant was {name}'s response to the question at hand?,How helpful was {name}'s response?
Stimulus 12,Is Lauren the mole?,She was caught carrying a sensitive document outside the office.,She has weekly meetings with her phone turned off.,She's the mole if she leaves the country tomorrow.,Last night Lauren was arrested for leaking classified information.,Lauren had sushi for lunch.,"You and your colleague Lauren are CIA analysts. Lauren is a star employee with good credentials and a brilliant knack for puzzle solving. But she is also a bit secretive---not entirely unexpected given your line of work, but your training causes you to dwell on some suspicious details from your conversations. On Monday your boss told you confidentially that your department is under investigation because the director suspects that a mole is leaking information to a foreign power.","You and your colleague Lauren are CIA analysts. Lauren is a star employee with good credentials and a brilliant knack for puzzle solving. But lately you have noticed some suspicious things about her habits. She is almost always the last to leave, but one time when you stayed to work late, you noticed her talking to a shady figure in the parking lot. Another time, you could have sworn you saw her slip some documents into her bag before leaving---documents that are not supposed to leave the office. On Monday your boss told you confidentially that your department is under investigation because the director suspects that a mole is leaking information to a foreign power.",You and your colleague Lauren are CIA analysts. Lauren is a star employee with good credentials and a brilliant knack for puzzle solving. She seems completely loyal to the agency. On Monday your boss told you confidentially that your department is under investigation because the director suspects that a mole is leaking information to a foreign power.,Your colleague Alan asks you privately:,You ask your colleague Alan privately:,Alan,How likely do you think it is that Lauren is the mole?,How relevant was {name}'s response to the question at hand?,How helpful was {name}'s response?
Stimulus 15,Did Tony get Ethan a cookbook for his birthday?,I saw Tony order a cookbook with gift-wrap.,Tony asked about cookbook recommendations the other day.,"If Tony knows Ethan likes to cook, then he got him a cookbook.",Tony got Ethan The Joy of Cooking.,,Tony got Ethan a book-shaped birthday gift. The book looks big and is probably a hardcover. You wonder if it could be a cool new cookbook.,"Tony got Ethan a book-shaped birthday gift. The book looks big and is probably a hardcover. You know that Ethan is really into cooking, so the first possibility that comes to your mind is that Tony got him a cookbook.",Tony got Ethan a book-shaped birthday gift. The book looks big and is probably a hardcover. You know that Ethan loves long fantasy novels.,Your friend Claire asks you:,You ask your friend Claire:,Claire,How likely do you think it is that Tony got Ethan a cookbook for his birthday?,How relevant was {name}'s response to the question at hand?,How helpful was {name}'s response?
Stimulus 16,Is the pizza place open on Monday?,Google maps says it's open on Monday.,Most pizza places are open on Mondays.,"If it's closed on Sunday, then it's open on Monday.",It's open all week.,Weekend hours are 10am to 10pm.,"After a rowdy Sunday night, you wake up with a burning desire for pizza. Since you recently moved to the neighborhood, you're not sure whether your favorite pizza place is open on Mondays.","After a rowdy Sunday night, you wake up with a burning desire for pizza. You have a hazy memory of getting pizza from your favorite place on a Monday under similar circumstances, but you still wonder if the pizza place is open today.","After a rowdy Sunday night, you wake up with a burning desire for pizza. You wonder whether your favorite pizza place is open, but you remember another similar Monday when you found that it was closed.",Your friend Buster asks you:,You ask your friend Buster:,Buster,How likely do you think it is that the pizza place is open on Monday?,How relevant was {name}'s response to the question at hand?,How helpful was {name}'s response?
Stimulus 17,Did Adam get the part?,Everyone else got rejection letters.,B got a rejection letter yesterday.,"If B got rejected, A got the part.",A was very happy to learn that they got the part.,The musical is Les Miserables.,"Your friend Adam grew up listening to the Les Miserables soundtrack. This year, the school's drama club is putting on the show, and (naturally) Adam auditioned for the lead role. As a loyal friend, you are trying to find some information about how he did.","Your friend Adam grew up listening to the Les Miserables soundtrack. By age 10 he had memorized every song and occasionally put on full-length productions with his stuffed animals. This year, the school's drama club is putting on the show, and (naturally) Adam auditioned for the lead role. As a loyal friend, you are trying to find some information about how he did.","Your friend Adam grew up listening to the Les Miserables soundtrack. This year, the school's drama club is putting on the show, and (naturally) Adam auditioned for the lead role. Adam is enthusiastic, but he never learned how to sing. As a loyal friend, you are trying to find some information about how he did.",Your other friend Jane asks you:,You ask your friend Jane:,Jane,How likely do you think it is that Adam got the part?,How relevant was {name}'s response to the question at hand?,How helpful was {name}'s response?